source_task,family,work_type,criterion_id,criterion_title,reference_fragment,source_files,compiler_discrimination,review_status,review_notes
corporate-ma/draft-asset-purchase-agreement/scenario-01,standard,draft,C-092,"TSA includes IT infrastructure for 6 months at $38,000/month","6 months | $38,000",division-financial-statements-fy2023-and-fy2024.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-asset-purchase-agreement/scenario-01,standard,draft,C-109,APA includes material adverse change/effect condition,Material Adverse Change,division-financial-statements-fy2023-and-fy2024.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-asset-purchase-agreement/scenario-01,standard,draft,C-137,"TSA includes HR systems (Workday) for 6 months at $8,500/month","Workday HRIS | 6 months | $8,500",division-financial-statements-fy2023-and-fy2024.docx | sellers-corporate-structure-chart.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-asset-purchase-agreement/scenario-01,standard,draft,C-146,APA addresses employee benefit plan transition (401(k) and other plans),Transferred Employees,assumed-and-excluded-liabilities-schedule.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-asset-purchase-agreement/scenario-01,standard,draft,C-147,Non-compete defines Competing Products with specificity,Competing Products,ip-asset-schedule.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-asset-purchase-agreement/scenario-01,standard,draft,C-150,APA addresses closing deliverables for both parties,Seller and Buyer,employee-census.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-asset-purchase-agreement/scenario-01,standard,draft,C-152,IP Assignment covers US trademarks including ESS Technologies and legacy LOGICORE,IP Assignment Agreement | OPTIROUTE PRO | ESS TECHNOLOGIES | OPTIMIZE EVERYTHING,assumed-and-excluded-liabilities-schedule.docx | ip-asset-schedule.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-asset-purchase-agreement/scenario-01,standard,draft,C-154,APA or ancillary docs address consent for Continental Freight Partners,Assignment and Assumption Agreement | Continental Freight Partners,division-financial-statements-fy2023-and-fy2024.docx | purchased-assets-and-excluded-assets-schedule.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-board-and-stockholder-consent-resolutions-for-acquisition-of-target-company,standard,draft,C-029,ISSUE_010: Board authorizes payoff letter and lien release,Pacific Coast Commerce Bank,counsel-instructions-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-board-and-stockholder-consent-resolutions-for-acquisition-of-target-company,standard,draft,C-045,Board consent: Approval of Escrow Agreement authorized,Escrow Agreement | Sentinel Escrow Services,counsel-instructions-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-board-and-stockholder-consent-resolutions-for-acquisition-of-target-company,standard,draft,C-060,Preferred consent: References Series A Preferred receiving ~$7.05/share,Series A Preferred | $5.4737,counsel-instructions-email.eml | fairness-opinion.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-board-and-stockholder-consent-resolutions-for-acquisition-of-target-company,standard,draft,C-068,"Board consent: Unallocated options (120,000) terminated","120,000",counsel-instructions-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-board-deck,standard,draft,C-016,Valuation Analysis covers implied multiples,Valuation Analysis,draft-merger-agreement-summary-of-key-terms.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-board-deck,standard,draft,C-018,Synergy Analysis covers integration costs,Synergy Analysis,due-diligence-summary-report.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-board-deck,standard,draft,C-038,CVR Milestone 1: $200M for FDA approval of CTX-4170,$200M | CTX-4170,cascadia-therapeutics-management-presentation.pptx | draft-merger-agreement-summary-of-key-terms.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-board-deck,standard,draft,C-043,DCF valuation range correctly stated,$1.72B | $2.48B | $2.10B,stonecrest-partners-financial-analysis-memorandum.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-board-deck,standard,draft,C-060,ISSUE_004: Risk-adjusted PV of NOL tax asset discussed,$612M,due-diligence-summary-report.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-board-deck,standard,draft,C-063,ISSUE_006: Dr. Patel-Singh lack of non-compete flagged,Issues Memorandum | Dr. Patel-Singh,cascadia-therapeutics-management-presentation.pptx | due-diligence-summary-report.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-board-deck,standard,draft,C-074,ISSUE_010: Antitrust risk assessment scrutinized,low risk,synergy-analysis-workbook.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-board-deck,standard,draft,C-091,CTX-4170 management case peak sales correctly stated: $780M,CTX-4170 | $780M,cascadia-therapeutics-management-presentation.pptx,reference_passes;corrupted_fails,,
corporate-ma/draft-board-deck,standard,draft,C-116,Revenue synergy assumption dependency on CTX-4170 approval noted,CTX-4170 | 2025 | 2026,cascadia-therapeutics-management-presentation.pptx,reference_passes;corrupted_fails,,
corporate-ma/draft-closing-checklist,standard,draft,C-003,"Critical Dates: HSR waiting period expiration April 21, 2025","April 21, 2025",signing-checklist-tracker.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-closing-checklist,standard,draft,C-018,Buyer Condition: Seller officer's certificate (Sec 7.2(d)),s officer | Section 7.2(d),signing-checklist-tracker.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-closing-checklist,standard,draft,C-020,Buyer Condition: Six pre-closing EPA RCRA permit approvals (Sec 7.2(f)),EPA RCRA | Section 7.2(f),commitment-letter.docx | rw-insurance-binder.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-closing-checklist,standard,draft,C-029,Buyer Condition: Payoff letters for existing indebtedness (Sec 7.2(j)),Section 7.2(j),signing-checklist-tracker.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-closing-checklist,standard,draft,C-043,Seller Deliverable: Good standing certificates — Oregon and foreign qualification states (Sec 2.4(3)),Section 2.4,material-contracts-summary.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-closing-checklist,standard,draft,C-049,Seller Deliverable: Thornburg Consulting Agreement (Sec 2.4(8)),Thornburg Consulting Agreement | Section 2.4,commitment-letter.docx | material-contracts-summary.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-closing-checklist,standard,draft,C-072,Pre-Closing Covenant: R&W insurance maintenance (Sec 5.8),Section 5.8,purchase-agreement.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-closing-checklist,standard,draft,C-082,ISSUE_005: Flags Section 1446(f) withholding considerations for LLC transfer,IRC Section | Treas. Reg | § 1.1445-2(b),purchase-agreement.docx | signing-checklist-tracker.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-closing-checklist,standard,draft,C-098,"Escrow: Amount correctly stated as $9,375,000","$9,375,000",commitment-letter.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-commitment-letter,standard,draft,C-031,Commitment letter states correct TLB commitment amount ($650M),"Term Loan B | $650,000,000",engagement-letter.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-commitment-letter,standard,draft,C-032,Commitment letter states correct Revolver commitment amount ($125M),"Revolving Credit Facility | $125,000,000",engagement-letter.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-commitment-letter,standard,draft,C-034,Commitment letter states correct Revolver maturity (5 years),Revolving Credit Facility | 5 years | Closing Date,engagement-letter.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-commitment-letter,standard,draft,C-035,Commitment letter states correct TLB spread (SOFR + 400 bps with 10 bps CSA),Term Loan B | 400 basis points,engagement-letter.docx | fee-letter.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-commitment-letter,standard,draft,C-039,Commitment letter includes ECF sweep at 50% of Excess Cash Flow,50% | Excess Cash Flow,engagement-letter.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-commitment-letter,standard,draft,C-063,Commitment letter states correct Revolver spread (SOFR + 375 bps with 10 bps CSA),Revolving Credit Facility | 375 basis points,engagement-letter.docx | fee-letter.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-commitment-letter,standard,draft,C-064,Commitment letter states correct Revolver SOFR floor (0.00%),0.00% | Revolving Credit Facility,engagement-letter.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-commitment-letter,standard,draft,C-071,Commitment letter requires delivery of audited financials for FY 2022-2024,2022 | 2023 | 2024,engagement-letter.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-confidential-information-memorandum,standard,draft,C-021,ISSUE_009: Reconciles QofE vs. management EBITDA base for projections,QofE-confirmed FY2024 | $21.12M | $21.3M,apex-financial-model.xlsx | apex-management-presentation.pptx,reference_passes;corrupted_fails,,
corporate-ma/draft-confidential-information-memorandum,standard,draft,C-040,Section 5c: Provides commercial/defense end-market mix (65%/35%),65% | 35%,apex-financial-model.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-confidential-information-memorandum,standard,draft,C-041,"Section 6a-1: Wichita plant described as approximately 145,000 sq. ft.","145,000",apex-financial-model.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-confidential-information-memorandum,standard,draft,C-088,"Acquisition details correctly stated ($95M TEV, ~9.3x, July 2019)",2019 | $95.0M,apex-financial-model.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-diligence-summary-memo,standard,draft,C-011,Describes Dr. Anand's equity rollover (~$46.1M),Dr. Anand's | $46.1M,data-room-index-and-requests.xlsx | draft-spa-key-terms.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-diligence-summary-memo,standard,draft,C-017,ISSUE_001/005: Recommends patent assignment to the Company,ClearDerm RX | Dr. Anand,data-room-index-and-requests.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-diligence-summary-memo,standard,draft,C-022,ISSUE_003: States dollar gap between management and QoE adjustments,$7.2M | $5.3M | $1.9M,data-room-index-and-requests.xlsx | financial-model-summary.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-diligence-summary-memo,standard,draft,C-048,ISSUE_013: Identifies HSR filing requirement for this transaction,$290M,draft-spa-key-terms.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-disclosure-schedule-preparation,standard,draft,C-010,ISSUE_005: Disclosure schedules disclose CLEANSOIL ANALYTICS® trademark licensing gap,CLEANSOIL ANALYTICS | Terraverde Environmental Solutions,corporate-org-cap-table.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-disclosure-schedule-preparation,standard,draft,C-014,ISSUE_007: Disclosure schedules disclose SC sales tax collection failure,"TerraWaste Disposal Solutions | South Carolina | 2022 | 2023 | $287,000 | $58,000 | $345,000",corporate-org-cap-table.xlsx | litigation-claims-summary.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-disclosure-schedule-preparation,standard,draft,C-018,"ISSUE_009: Disclosure schedules disclose aggregate change-of-control severance of $2,340,000","$2,340,000",corporate-org-cap-table.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-disclosure-schedule-preparation,standard,draft,C-032,All four pending/threatened litigation matters disclosed with case details,Henderson v. Terraverde Remediation Services | Terraverde v. EcoShield | EPA Hillcrest Administrative Order | Palmetto County,corporate-org-cap-table.xlsx | draft-merger-agreement.docx | insurance-coverage-summary.docx | management-questionnaire.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-disclosure-schedules,standard,draft,C-034,ISSUE_009: CLEARPATH DIAGNOSTICS Office Action response deadline flagged,"July 8, 2024",data-room-index.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-disclosure-schedules,standard,draft,C-047,ISSUE_008: Schedule 3.10 discloses IRS audit of 2021 R&D tax credit,"August 14, 2023 | $1.74M",data-room-index.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-disclosure-schedules,standard,draft,C-060,Schedule 3.12 lists the 401(k) plan,Whitmore Health Technologies,data-room-index.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-disclosure-schedules,standard,draft,C-068,ISSUE_007: Schedule 3.17 discloses March 2023 HIPAA breach details,"March 8, 2023 | 1,200 | Vanderbilt Regional Health Network",data-room-index.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-distribution-waterfall-memorandum,standard,draft,C-016,ISSUE_007a: Addresses IRC Section 1061 three-year holding period requirement,Section 1061,lpa-fund-iv.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-distribution-waterfall-memorandum,standard,draft,C-020,ISSUE_008: Notes LPAC approval of rounding adjustment,LP Advisory Committee | $287.5M | $125M,coinvest-waterfall-letter.docx | side-letter-summary.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-distribution-waterfall-memorandum,standard,draft,C-030,Step 3 catch-up identified as partial (not full),"$6,697,500",side-letter-summary.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-distribution-waterfall-memorandum,standard,draft,C-038,"Transaction expenses of $3,750,000 deducted from proceeds","$3,750,000",coinvest-waterfall-letter.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-distribution-waterfall-memorandum,standard,draft,C-044,"Prior distributions totaling $479,500,000 correctly referenced","Fund IV | $479,500,000",coinvest-waterfall-letter.docx | gp-waterfall-model.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-due-diligence-request-list/scenario-01,standard,draft,C-025,ISSUE_009: Requests breach notification records and remediation documentation,"2023 | 12,400",cim-pinnacle-health-systems.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-due-diligence-request-list/scenario-02,standard,draft,C-038,ISSUE_013: Requests EEOC charge and response for Dr. Lisa Tran matter,Dr. Lisa Tran,deal-team-kickoff-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-due-diligence-request-list/scenario-02,standard,draft,C-039,ISSUE_013: Probes potential whistleblower/retaliation dimensions,Dr. Tran,deal-team-kickoff-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-due-diligence-summary,standard,analyze,C-004,Transaction summary includes target NWC of $11.2M,$11.2M,confidential-information-memorandum.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-due-diligence-summary,standard,analyze,C-011,ISSUE_002: Quantifies Aeroforge revenue at risk ($27.4M / 34.9%),$27.4M | 2024,bno-tax-audit-correspondence.docx | dd-request-list.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-due-diligence-summary,standard,analyze,C-024,ISSUE_006: Identifies CMMC compliance gap,NIST SP | CMMC Level | mid-2025,dd-request-list.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-engagement-letter,standard,draft,C-005,Engagement letter identifies the adverse party as NovaTech Surgical Solutions GmbH,NovaTech Surgical Solutions GmbH,client-intake-memo.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-engagement-letter,standard,draft,C-033,ISSUE_003: Success fee cap correctly stated as $3 million,$3 million,client-intake-memo.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-engagement-letter,standard,draft,C-035,ISSUE_003: Cover memo flags the $70M error from the email chain,around $70 million | $75 million,client-intake-memo.docx | fee-scope-email-chain.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-equity-commitment-letter,standard,draft,C-007,ECL: Purpose clause covers other amounts to consummate transactions,Merger Agreement,deal-team-ecl-discussion.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-equity-commitment-letter,standard,draft,C-022,ECL: Termination upon valid termination of Merger Agreement,Merger Agreement,deal-team-ecl-discussion.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-equity-commitment-letter,standard,draft,C-024,ISSUE_001 identified: $5M sponsor management fee gap in sources/uses,"$5,000,000 | $315,000,000 | $310,000,000",deal-team-ecl-discussion.eml | debt-commitment-letter.docx | sources-and-uses-model.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-evergreen-capital-fund-v,standard,draft,C-009,ISSUE_005: Includes benefit plan investor / ERISA limitation provision,25% | § 2510.3-101(f),engagement-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-evergreen-capital-fund-v,standard,draft,C-019,ISSUE_011: Placement agent fees correctly allocated,Management Company,engagement-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-evergreen-capital-fund-v,standard,draft,C-034,Financial: Management fee during investment period is 2.0% on commitments,2.0%,fund-iv-lpa-excerpts.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-evergreen-capital-fund-v,standard,draft,C-057,Governance: No-fault GP removal requires 80% LP vote plus removal fee,80% | U.S. Treasury,fund-iv-lpa-excerpts.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-evergreen-capital-fund-v,standard,draft,C-069,Financial: Hard cap is $1.75 billion,$1.75 billion,engagement-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-evergreen-capital-fund-v,standard,draft,C-074,Document reconciliation: Priority hierarchy stated or applied,Fund IV,engagement-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-evergreen-capital-fund-v,standard,draft,C-080,Exculpation / Limitation of liability for GP included,General Partner,engagement-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-exit-closing-checklist,standard,draft,C-007,ISSUE_003: Notes filing deadline for 338(h)(10) election,Section 338(h)(10),deal-team-emails.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-exit-closing-checklist,standard,draft,C-025,Includes SPA execution as closing deliverable,Stock Purchase Agreement,deal-team-emails.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-exit-closing-checklist,standard,draft,C-034,Includes 280G analysis for 7 disqualified individuals,Section 280G,deal-team-emails.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-exit-closing-checklist,standard,draft,C-045,Includes WC adjustment escrow ($14.55M for 120 days),"$14,550,000 | 120 days",deal-team-emails.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-exit-closing-checklist,standard,draft,C-050,Includes Buyer's debt financing as condition or deliverable,Oakmont Capital Markets,deal-team-emails.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-exit-closing-checklist,standard,draft,C-057,Includes TSA expiration date or term (6 months post-closing),"October 28, 2025",draft-spa.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-fund-term-sheet-vs-side-letter-deviation-analysis,standard,analyze,C-011,Identifies Cascadia PERS ($200M) as MFN-eligible,Cascadia PERS,fund-iv-term-sheet.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-fund-term-sheet-vs-side-letter-deviation-analysis,standard,analyze,C-027,Flags Gulfstream recycling cap as problematic fund-level constraint,10%,fund-iv-term-sheet.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-fund-term-sheet-vs-side-letter-deviation-analysis,standard,analyze,C-039,Notes MFN election period itself could be elected by other MFN-eligible LPs,MFN-eligible LPs,mfn-eligibility-memo.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-fund-term-sheet-vs-side-letter-deviation-analysis,standard,analyze,C-040,Report covers all five side letters,Cascadia PERS | Gulfstream Family Office | Northbridge Endowment | Ironforge Insurance,fund-iv-term-sheet.docx | mfn-eligibility-memo.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-fund-term-sheet-vs-side-letter-deviation-analysis,standard,analyze,C-053,Identifies Gulfstream is NOT MFN-eligible due to $75M commitment,$100M,fund-iv-term-sheet.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-industry-summary/scenario-01,standard,draft,C-021,ISSUE_008: Flags that precedent transaction median (18.1x) is inflated by COVID-era deals,2022,greylock-poc-diagnostics-report-q1-2025.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-industry-summary/scenario-01,standard,draft,C-022,ISSUE_008: Notes post-2022 transactions show lower median of ~16.8x,post-2022,greylock-poc-diagnostics-report-q1-2025.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-industry-summary/scenario-01,standard,draft,C-032,Market size: Global IVD market projected to ~$128.6B by 2029 at ~6.8% CAGR,$128.6 billion | 2029 | 6.8%,greylock-poc-diagnostics-report-q1-2025.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-industry-summary/scenario-01,standard,draft,C-035,Market size: U.S. POC infectious disease segment ~$4.9B in 2024,U.S. POC | $4.9 billion | 2024,greylock-poc-diagnostics-report-q1-2025.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-industry-summary/scenario-01,standard,draft,C-057,Helios geography: U.S. revenue $155.3M (82.9%) and International $32.0M (17.1%),$155.3M | $32.0M,helios-cim-project-lumina.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-industry-summary/scenario-02,standard,draft,C-017,ISSUE_006: Identifies PremierCare as largest customer at 14.8% of revenue ($27.7M),PremierCare Health Systems | 14.8%,helios-cim-project-lumina.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-industry-summary/scenario-02,standard,draft,C-025,ISSUE_010: Identifies OrionDx's OrionRapid 3.0 platform as competitive threat,s next-generation,greylock-poc-diagnostics-report-q1-2025.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-industry-summary/scenario-02,standard,draft,C-038,Helios financials: FY2024 Adjusted EBITDA $41.2M (22.0% margin),$41.2 million,greylock-poc-diagnostics-report-q1-2025.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-industry-summary/scenario-02,standard,draft,C-041,Helios revenue breakdown: Instruments/Other ~$26.2M (14%),$26.2M,helios-cim-project-lumina.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-issues-list-for-acquisition-agreement,standard,review,C-010,ISSUE_004: Identifies Northwind change-of-control consent requirement,Northwind MSA,legal-due-diligence-memo.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-issues-list-for-acquisition-agreement,standard,review,C-037,ISSUE_015: Identifies Pinnacle litigation lacks specific indemnity,Pinnacle Advanced Materials,disclosure-schedules.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-issues-list-for-acquisition-agreement,standard,review,C-048,Most favored customer pricing clauses flagged,s long-term supply agreements contain,legal-due-diligence-memo.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-issues-list-for-escrow-agreement,standard,review,C-007,ISSUE_003: Identifies governing law conflict (New York vs Delaware),New York,draft-escrow-agreement.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-issues-list-for-restrictive-covenant-agreement,standard,analyze,C-040,ISSUE_017c: Recommends shortening customer/supplier lookback period,24 months,firm-rca-playbook.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-issues-list-for-transition-services-agreement-tsa,standard,review,C-057,"Accuracy: Annual TSA fees correctly stated as $13,560,000","$13,560,000",draft-tsa-covington-to-novara.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-issues-list-for-transition-services-agreement-tsa,standard,review,C-062,Coverage: Insurance provisions flagged as inadequate,customary insurance,draft-tsa-covington-to-novara.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-ma-agreement-from-precedent/scenario-01,standard,draft,C-020,Issues memo discusses Texas non-compete enforceability under Texas Business & Commerce Code § 15.50–15.52,§ 15.50,ridgeline-qoe-summary.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-ma-agreement-from-precedent/scenario-01,standard,draft,C-031,"SPA specifies $475,000 indemnification basket amount","$475,000",drafting-instructions-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-ma-agreement-from-precedent/scenario-01,standard,draft,C-073,"SPA specifies enterprise value of $47,500,000","$47,500,000",drafting-instructions-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-ma-agreement-from-precedent/scenario-01,standard,draft,C-081,"SPA includes consent from Lone Star Equipment Finance, LLC as closing condition",Lone Star Equipment Finance,drafting-instructions-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-ma-agreement-from-precedent/scenario-02,standard,draft,C-028,SPA specifies 18-month general rep survival period (not 24 months from precedent),18 months,drafting-instructions-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-ma-agreement-from-precedent/scenario-02,standard,draft,C-035,"SPA specifies $25,000 de minimis claim threshold","$25,000",drafting-instructions-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-ma-agreement-from-precedent/scenario-02,standard,draft,C-080,"SPA includes consent from ChemSource International, LLC as closing condition",ChemSource International,drafting-instructions-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-management-rollover-agreement,standard,draft,C-008,ISSUE_003: Identifies that Performance-Vested Units may be compensatory 'boot',Performance-Vested Units | in addition to | Class B | Section 351,equity-calculations.xlsx | llc-agreement-summary.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-management-rollover-agreement,standard,draft,C-017,ISSUE_007: Identifies non-compete geographic scope as potentially overbroad,North Carolina,merger-agreement-excerpts.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-management-rollover-agreement,standard,draft,C-029,Agreement recitals identify Derek Harmon as rollover participant,Derek Harmon,equity-calculations.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-management-rollover-agreement,standard,draft,C-044,Agreement includes 4-year ratable vesting for remaining Class B Units,50% | Class B Units,equity-calculations.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-management-rollover-agreement,standard,draft,C-054,Agreement includes put right with 3-year anniversary trigger,Class B Units,equity-calculations.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-management-rollover-agreement,standard,draft,C-068,Agreement specifies Linden's rollover percentage (60%),60%,equity-calculations.xlsx,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-counterparty-acquisition-agreement,standard,draft,C-007,ISSUE_001a-iii: Removes Knowledge qualifier from authority/enforceability rep,to the Knowledge of Seller,environmental-dd-summary.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-engagement-letter,standard,review,C-009,ISSUE_004: Identifies inadequate 50% retainer credit,50%,hartwell-to-linden-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-engagement-letter,standard,review,C-011,ISSUE_004: Quantifies economic impact of 50% credit,"12 months | Voss Dynamics | $450,000",hartwell-to-linden-email.eml | lp-engagement-letter-playbook.docx | thorngate-engagement-letter-draft.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-engagement-letter,standard,review,C-020,ISSUE_007: Proposes deletion of early termination fee,30 days,lp-engagement-letter-playbook.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-engagement-letter,standard,review,C-027,ISSUE_011: Identifies unauthorized use of name and logo,Voss Dynamics,hartwell-to-linden-email.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-escrow-agreement,standard,draft,C-002,ISSUE_001: Proposes change to 50% step-down at 12 months,40% | 50%,apa-excerpts.docx | buyers-draft-escrow-agreement.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-escrow-agreement,standard,draft,C-008,ISSUE_003: Requires joint written instructions for disbursement,Buyer and Seller,apa-excerpts.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-escrow-agreement,standard,draft,C-041,ISSUE_014: Proposes anti-setoff provision requiring joint authorization,Escrow Agent,apa-excerpts.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-restrictive-covenant-agreement,standard,draft,C-002,Cites Section 7.10(b) as basis for non-compete period cap,Section 7.10(b) | Merger Agreement,client-intake-memo.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-restrictive-covenant-agreement,standard,draft,C-030,Identifies asymmetric non-disparagement clause,s obligation is limited to | Dr. Mehta's,client-intake-memo.eml | seller-playbook-restrictive-covenants.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-restrictive-covenant-agreement,standard,draft,C-044,Worldwide geographic scope exceeding Section 7.10(c) limitation classified as Must-Have,Section 7.10(c),client-intake-memo.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-transition-services-agreement-tsa,standard,review,C-007,ISSUE_002c: Redlines liability cap to conform to APA Section 7.12(d),APA Section,andersen-instructions.eml,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-transition-services-agreement-tsa,standard,review,C-029,ISSUE_012a: Identifies CGL insurance reduction ($2M vs. $5M playbook),$2 million | $5 million,apa-excerpts.docx,reference_passes;corrupted_fails,,
corporate-ma/draft-markup-of-transition-services-agreement-tsa,standard,review,C-035,ISSUE_014b: Proposes termination assistance at cost-plus-15% for up to 60 days,60 days | plus-15,polaris-tsa-playbook.docx,reference_passes;corrupted_fails,,
